"编号","所属产品","所属模块","所属计划","需求来源","来源备注","需求名称","需求描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","由谁评审","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分需求","相关需求","重复需求ID","附件"
"76","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","2020新华健康重疾VIP卡（I20AP1) 数据提取定时任务","每天凌晨五点，获取I20AP1产品下200702072160-200702132159 卡段内的前一日的激活数据，发送邮件。

邮件标题：2020新华健康重疾VIP卡（200702072160-200702132159）激活数据
邮件内容：尊敬的用户你好！附件中是2020新华健康重疾VIP卡（200702072160-200702132159) XXXX年XX月XX日的卡激活清单，请查收！
附件表头：产品标识码、产品名称、卡号、姓名、省份、城市、激活时间、服务开始日期、服务结束日期

收件人邮箱：pengtao@newchinalife.com
抄送人邮箱：xiaohuil@healthlink.cn；lotusjiao@healthlink.cn (前期便于开发人员测试，可以将开发人员邮箱加上）","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-24","Closed","2021-03-25","","","0000-00-00","刘博阳","2021-03-25","已完成","刘博阳","2021-03-25","","","0","",""
"74","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","","","视频医生分配邀请码数据库记录优化","项目对接视频医生服务，B端公司需要获取视频医生的服务使用情况，由于与和缓没有真正使用服务的服务数据对接，故目前采取的统计服务使用情况的标准是以给具体某个产品的某个pmid分配了多少次邀请码作为服务使用统计的范围。为了便于后期针对具体某个产品做相关的统计操作，故pmid分配邀请码的记录表中提前记录产品标识码，便于后期的统计分析！","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-24","Closed","2021-04-01","","","0000-00-00","刘博阳","2021-04-01","已完成","刘博阳","2021-04-01","","","0","",""
"71","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","华泰视频医生服务查询接口开发需求","原禅道号25需求，增加文档2.1.3部分接口开发内容，需要提供服务记录查询接口。","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-24","Closed","2021-04-01","","","0000-00-00","刘博阳","2021-04-01","已完成","刘博阳","2021-04-01","","","0","华泰家庭视频医生开发需求V2.0.docx
",""
"58","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","","","药店项目视频医生服务记录回传调整","涉及产品：I21AJ0、I20CC5的视频医生服务切换了供应商，所以对服务记录回传接口调整统计规则。


原统计规则：回传企鹅视频医生返回的服务记录


调整为：用户使用和缓视频医生，当后台为用户分配邀约码时记为使用服务，接口【服务时间】字段值为分配邀约码的时间。

","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-18","Closed","2021-03-23","","","0000-00-00","刘博阳","2021-03-23","已完成","刘博阳","2021-03-23","","","0","",""
"52","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","人保数据提取需求2.0","电话医生服务记录增加一个产品的统计，规则不变，见附件excel标黄部分。
满足4月1号可以按照新模板提供数据。","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-17","Closed","2021-03-18","","","0000-00-00","刘博阳","2021-03-18","已完成","刘博阳","2021-03-18","","","0","人保寿险客户服务使用数据统计表（健康）.xlsx
",""
"51","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","上海国寿电话医生项目","与原项目需求变更区别：
1、备案方式调整，由excel线下备案改为线上接口备案
2、服务接口调整，提供给国寿的接口不做加密","","","3","0","已关闭","已关闭","0","0","0","刘博阳","2021-03-17","Closed","2021-03-18","","","0000-00-00","刘博阳","2021-03-18","已完成","刘博阳","2021-03-18","","","0","上海国寿健康险电话医生开发需求V2.0.docx
",""
"48","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","暖哇项目新增产品对接","为暖哇项目提供的服务接口中需要新增一个产品，相应的服务页面和免责声明配置详见附件","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-03-15","Closed","2021-03-23","","","0000-00-00","刘博阳","2021-03-23","已完成","刘博阳","2021-03-23","","","0","暖哇科技项目开发需求文档V4.0.docx
产品免责声明对应关系.xlsx
【任小康健康管家】服务协议及免责说明.docx
",""
"47","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","药店（益方丰讯）项目开发需求","此项目与药店（快鹿健康）项目对接流程完全相同，销售为区分结算单独上线了一套产品，在药店快鹿健康项目接口文档上进行修改为此渠道客户单独提供一套接口文档。","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-03-15","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","药店（益方丰讯）项目开发需求V1.0.docx
",""
"46","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","2020国寿重疾服务回执开发","与国寿大健康平台对接服务回执功能，详见需求文档V2.0部分


3-16变更：update服务状态增加“取消预约”状态


3-19变更：增加国寿提供的服务编码回传规则，详见文档2.3.1部分","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-03-15","Closed","2021-03-23","","","0000-00-00","刘博阳","2021-03-23","已完成","刘博阳","2021-03-23","","","0","2020国寿总部个险重疾项目开发需求V4.0.docx
服务记录回传字段.xlsx
服务编码对照表--3月22.xlsx
",""
"43","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","重庆国寿税优开发需求","与国寿大健康平台对接用户信息备案接口并提供服务接口。


国寿接口参数
planId： WPwIXSEqQI2WAP7ZLBO5mA
plan_no: PL00018
group_code: C001
lv: 1 ","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-03-12","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","重庆国寿税优开发需求V1.0.docx
AI服务地址.xlsx
",""
"42","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","","","珊瑚超级API页面调整","项目对接的客户引流到珊瑚API进行服务使用，考虑到保险公司有的用户没有身份证号，故做如下调整
1、页面中的【身份证号】修改为：证件号
2、提交信息的时候，身份证号的校验得去掉
","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-12","Closed","2021-03-17","路宽","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","",""
"39","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","上海国寿健康险电话医生开发需求","与国寿大健康平台对接服务，备案数据通过excel导入，远盟提供服务接入接口。","","","3","0","已关闭","已关闭","2","0","10","刘博阳","2021-03-11","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","上海国寿健康险电话医生开发需求V1.0.docx
",""
"26","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","太平人寿线上医生超e保2021开发需求","在超e保2020的页面基础上进行修改，为超e保2021提供一套服务页面，以及对应的接口。


3-16修改：udesk在线咨询链接excel里sheet2的家庭医生链接改动","","","3","0","已关闭","已关闭","2","2","17","刘博阳","2021-03-08","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","太平人寿线上医生超e保2021开发需求V1.0.docx
超e保2021在线咨询链接清单.xlsx
超e保2021在线咨询链接清单.xlsx
",""
"25","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","华泰家庭视频医生开发需求","在华泰微信公众号上对接视频医生服务，采用标准备案接口+卡校验接口+珊瑚API接口


华泰要求在本周末（14号）前完成联调，远盟需尽早提供接口文档","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-08","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","华泰家庭视频医生开发需求V1.0.docx
",""
"24","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","国寿平台AI服务接口开发需求","背景：国寿大健康平台历史对接的多个项目中包含已下线的”健康风险评估“和”疾病诊断“服务，现采用远盟的三项AI服务作为替换。


接口描述：单独为国寿大健康平台提供不做用户身份验证的：AI问诊、AI问药、AI导诊服务，且三项AI服务对话页面中关闭所有外链的跳转入口。","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-03-08","Closed","2021-03-17","","","0000-00-00","刘博阳","2021-03-17","已完成","刘博阳","2021-03-17","","","0","",""
"23","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","中康颐养防癌公益基因检测开发需求","此项目在微信小程序上进行对接，由远盟开发接口和服务页面，使用户在平台上完成基因检测服务的完整流程。
详见需求文档。


V3.0：增加数据回传功能","","","3","0","已关闭","已关闭","0","0","16","刘博阳","2021-03-05","Closed","2021-03-23","","","0000-00-00","刘博阳","2021-03-23","已完成","刘博阳","2021-03-23","","","0","p53基因检测知情同意书.docx
小程序校验文件.zip
中康颐养防癌公益基因检测开发需求V2.0.docx
中康颐养防癌公益基因检测开发需求V3.0.docx
",""
"20","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","暖哇项目需求变更","原产品”I20CG6“的集成页只包含3项服务，本次服务页增加快捷垫付服务入口，垫付服务免责声明见附件。

","暖哇下周一会上线服务，期望远盟在下周一能同步更新完毕","","3","0","已关闭","已关闭","3","0","6","刘博阳","2021-03-05","Closed","2021-03-08","","","0000-00-00","刘博阳","2021-03-08","已完成","刘博阳","2021-03-08","","","0","【橙易保管家】暖哇免责条款和服务说明20201217(1).doc
产品免责声明对应关系.xlsx
暖哇科技项目开发需求文档V3.0.docx
",""
"14","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","安享百万住院垫付开发需求","本次为V5.0版本需求，变动内容为：
1、预约接口新增【新理赔报案号】字段，用于材料回传时文件命名
2、对接材料回传接口


详见需求文档


V6.0变更内容：预约接口增加【下次缴费日期】字段，并在HBS工单内进行展示


V7.0变更内容：新增2.2.1页面开发，更新2.3.2回传规则、撤单原因规则


V8.0变更内容：修改预约接口字段。


V8.1变更内容：修改材料上传和案件信息收集细节规则
","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-03","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","安享百万住院垫付开发需求V5.0.docx
远盟上传文件接口文档.docx
安享百万住院垫付开发需求V6.0.docx
赔案接入JSON示例文件.txt
安享理赔回传接口规格定义（最终确定版）.xlsx
安享百万住院垫付开发需求V7.0.docx
安享百万住院垫付开发需求V8.0.docx
医院代码.xlsx
安享百万住院垫付开发需求V8.1.docx
",""
"10","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","","","远盟健康管家在线咨询服务改造","为满足项目上的服务记录提取需求，对远盟健康管家公众号的在线咨询服务进行改造，当用户使用此服务时，udesk链接参数中携带产品标识码与个人唯一信息，后续提取服务记录时可以区分身份。","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-01","Closed","2021-03-03","","","0000-00-00","刘博阳","2021-03-03","已完成","刘博阳","2021-03-03","","","0","",""
"9","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","03-01水滴与远盟产品对应关系表","将备注为3月1日的两个产品添加到映射关系上","","","3","0","已关闭","已关闭","0","0","0","刘博阳","2021-03-01","Closed","2021-03-03","","","0000-00-00","刘博阳","2021-03-03","已完成","刘博阳","2021-03-03","","","0","水滴与远盟产品对应关系表20210301.xlsx
",""
"8","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","人保数据提取需求","于每月1号和16号按附件excel模板提取数据，按照服务分类统计对应产品的服务使用人次，将数据整理为excel通过邮件发送至majiangbo@picchealth.com，抄送lijuncheng@healthlink.cn。


在线问诊服务：用户在微服务使用服务，根据访问udesk链接传参筛选统计表格内产品的服务人次。
电话医生服务：从HBS健康咨询工单统计工单数作为服务使用人次。
国内紧急救援：统计产品产生的急救工单数
心理咨询：统计HBS其他健康流程工单且服务分类为”心理健康咨询“的工单数。


半月新增数据：16号提取本月1号至15号产生的数据，1号提取上月16号到月底产生的数据。
2021年累计：每次统计自2021-01-01产生的所有数据
服务上线以来累计：统计全量数据


3-2变更：电话医生服务增加产品I19AB2的服务记录统计","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-02-26","Closed","2021-03-08","","","0000-00-00","刘博阳","2021-03-08","已完成","刘博阳","2021-03-08","","","0","人保寿险客户服务使用数据统计表（每半月更新一次）for远盟康健.xlsx
人保寿险客户服务使用数据统计表（健康）.xlsx
",""
"4","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","新华项目APP对接开发需求V1.0","新华2个产品已经对接过微信公众号的服务接口，现新华需要将远盟服务页面迁移到APP中，对于页面中部分功能需要重新开发以保证在APP中可以正常使用。
服务接口需要进行改造，提供微信端和APP端的页面访问方式。


1、附加康健服务页面：紧急救援支持一键呼叫和定位功能，电话医生支持一键呼叫和回访预约功能


2、C3C5服务页面：3个服务说明页支持一键呼叫功能，3个预约页面支持提交预约功能。


3、UI改动：
    3.1 附加康健服务集成页保留自助挂号服务入口，点击自助挂号后进入二维码引导页
    3.2 C3C5重疾绿通预约页面去掉文件上传部分，在原邮箱地址上方增加提示语，见UI效果图。


4、小号
    将附加康健产品原微信对接接口和本次开发的接口，服务集成页下方电话号码、急救救援、电话医生服务拨叫号码修改为01059258719


UI地址：https://share.weiyun.com/5Q7W2wE
路径：x项目文件/x新华APP","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-02-25","Closed","2021-03-03","","","0000-00-00","刘博阳","2021-03-03","已完成","刘博阳","2021-03-03","","","0","新华项目APP对接开发需求V1.0.docx
新华项目APP对接开发需求V2.0.docx
新华项目APP对接开发需求V2.0.docx
",""
"3","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","企鹅健康服务卡开发需求V2.0","一、将企鹅服务接口进行改造：增加一个非必填字段“渠道”，对应CRM数据模板“BELONG_UNITS”字段，当用户激活服务卡时用于记录不同渠道产生的备案数据。


二、开发数据回传接口：客户调用远盟回传接口根据传参回传指定产品、渠道、时间范围内产生的备案数据。


详见需求文档。","","","3","0","已关闭","已关闭","1","0","12","刘博阳","2021-02-24","Closed","2021-03-03","","","0000-00-00","刘博阳","2021-03-03","已完成","刘博阳","2021-03-03","","","0","企鹅健康服务卡开发需求V2.0.docx
",""
"2","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","配置水滴与远盟产品对应关系","水滴有1个新增的产品编码需要增加到映射关系上，详见附件excel

","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-02-23","Closed","2021-02-23","","","0000-00-00","刘博阳","2021-02-23","已完成","刘博阳","2021-02-23","","","0","水滴与远盟产品对应关系表20210223.xlsx
",""
